,0,1,2,3
0,1950,1,gordon jenkins and the weavers,goodnight irene
1,1950,2,nat king cole,mona lisa
2,1950,3,anton karas,third man theme
3,1950,4,gary and bing crosby,sam's song
4,1950,5,gary and bing crosby,simple melody
5,1950,6,teresa brewer,"music, music, music"
6,1950,7,guy lombardo,third man theme
7,1950,8,red foley,chattanoogie shoe shine boy
8,1950,9,sammy kaye,harbor lights
9,1950,10,sammy kaye and don cornell,it isn't fair
10,1950,11,eileen barton,if i knew you were coming i'd've baked a cake
11,1950,12,kay starr,bonaparte's retreat
12,1950,13,gordon jenkins and the weavers,"tzena, tzena, tzena"
13,1950,14,tony martin,there's no tomorrow
14,1950,15,phil harris,the thing
15,1950,16,ames brothers,sentimental me
16,1950,17,andrews sisters and gordon jenkins,i wanna be loved
17,1950,18,patti page,tennessee waltz
18,1950,19,andrews sisters and gordon jenkins,"i can dream, can't i"
19,1950,20,tennessee ernie ford and kay starr,i'll never be free
20,1950,21,patti page,all my love
21,1950,22,gordon jenkins,my foolish heart
22,1950,23,ames brothers,rag mop
23,1950,24,bill snyder,bewitched
24,1950,25,perry como,hoop-dee-doo
25,1950,26,gordon jenkins,bewitched
26,1950,27,ames brothers,can anyone explain?
27,1950,28,billy eckstine,my foolish heart
28,1950,29,bing crosby,dear hearts and gentle people
29,1950,30,frankie laine,cry of the wild goose
